Function Name,What It Does,Reusability Score (1-10),Duplicate in wordpack-logic.js
saveState,DELETED - Was wrapper around window.saveState(),2,DELETED ✓
loadState,DELETED - Was wrapper around window.loadState(),2,DELETED ✓
showSuccessStamp,DELETED - Was wrapper around window.showSuccessStamp(),2,DELETED ✓
showFailureStamp,DELETED - Was wrapper around window.showFailureStamp(),2,DELETED ✓
showStartingCard,"Navigates to starting card (menu/help), adds showing-menu class, updates titles, renders menu card, optionally flips to back for help",1,No - Game-specific menu navigation
exitStartingCard,"Returns from starting card to saved position, removes showing-menu class, restores wordpack title and updates display",1,No - Game-specific menu navigation
renderMenuCard,"Renders menu card that looks like flashcard with Act/Pack/Language/Voice/Speed dropdowns on front and help instructions on back",1,No - Game-specific menu rendering
populateWordpackSelectorOnCard,DELETED - Was similar to window.populatePackSelector(),2,DELETED ✓
switchMode,"Switches between learning modes (flashcard/spelling/pronunciation/translation), resets deck to original order, updates UI, auto-pronounces in spelling",4,No - Game-specific mode switching UI
initializeTypingDisplay,DELETED - Was duplicate of window.initializeTypingState(),7,DELETED ✓
handleTypingInput,DELETED - Was game-specific wrapper around typing logic,3,DELETED ✓
loadVoices,DELETED - Was wrapper around window.loadVoicesForLanguage(),3,DELETED ✓
populateVoiceSelector,"DEPRECATED function kept for compatibility - voice selector now populated inside renderMenuCard()",1,No - Deprecated
initializeTooltips,"Initializes tooltips from TOOLTIP_MESSAGES, builds mode instruction lists (flashcard/spelling/pronunciation/translation), attaches button tooltips",2,No - Game-specific tooltip configuration
restoreSavedState,DELETED - Was wrapper around state restoration logic,3,DELETED ✓
updateBackLabel,"Updates back label text based on native language selection, changes label to show which language appears on card back",1,No - Game-specific UI label update
initializeDeck,DELETED - Was wrapper around window.createDeckFromPack(),3,DELETED ✓
restartCurrentPack,DELETED - Was wrapper around window.resetDeckToOriginal(),3,DELETED ✓
goToNextPack,DELETED - Was wrapper around window.navigateToNextPack(),3,DELETED ✓
generateWeathering,"Generates random weathering pattern for flashcard using seed-based randomization - creates sun-faded edges, color tints, splotches for vintage appearance",1,No - Flashcard-specific visual effect
updateDisplay,"Core display function - shows current card with mode-specific rendering (flashcard/spelling/pronunciation/translation), handles Chinese coupling, applies weathering",1,No - Flashcard-specific DOM updates
goToPrevious,DELETED - Was wrapper around window.navigateToPrevious(),3,DELETED ✓
goToNext,DELETED - Was wrapper around window.navigateToNext(),3,DELETED ✓
moveToNextCard,DELETED - Was wrapper around window.navigateToNext(),4,DELETED ✓
flipCard,DELETED - Was game-specific card flip animation,2,DELETED ✓
unflipCard,"Forces flashcard to show front side without playing flip sound - used for card navigation to ensure consistent card face",1,No - Flashcard-specific animation
removeCurrentCard,DELETED - Was wrapper around window.removeCard(),3,DELETED ✓
addConfusedCards,DELETED - Was wrapper around window.addDuplicateCards(),3,DELETED ✓
resetDeck,DELETED - Was wrapper around window.resetDeckToOriginal(),3,DELETED ✓
speakTargetWord,DELETED - Was wrapper around window.speakWord(),3,DELETED ✓
setSpeed,DELETED - Was wrapper around window.setTTSSpeed(),3,DELETED ✓
showFeedback,"Shows pronunciation feedback overlay with score/heard/expected text on front or back of card, handles pronunciation mode auto-advance with stamps",4,No - Game-specific feedback display with deck logic
startListening,DELETED - Was wrapper around speech recognition logic,3,DELETED ✓
startGame,"Exits starting card to begin game, initializes deck with selected wordpack, updates title and back label, sets game-started state, cancels speech",1,No - Game-specific initialization flow
updateDebugTableWrapper,DELETED - Was wrapper around window.updateDebugTable(),2,DELETED ✓
